state,geoid,ansi_code,county_name,population_per_square_mile
AL,1133,161592,Winston County,39.94264078
AK,2013,1419964,Aleutians East Borough,0.44987477
AK,2016,1419965,Aleutians West Census Area,1.266662962
AK,2020,1416061,Anchorage Municipality,171.1907727
AK,2050,1419966,Bethel Census Area,0.419349232
AK,2060,1419967,Bristol Bay Borough,1.978791012
AK,2068,1419988,Denali Borough,0.143199839
AK,2070,1419968,Dillingham Census Area,0.261029563
AK,2090,1419969,Fairbanks North Star Borough,13.29765887
AK,2100,1419970,Haines Borough,1.081687225
AK,2105,2371430,Hoonah-Angoon Census Area,0.285717513
AK,2110,1419971,Juneau City and Borough,11.57505503
AK,2122,1419972,Kenai Peninsula Borough,3.446274294
AK,2130,1419973,Ketchikan Gateway Borough,2.773950511
AK,2150,1419974,Kodiak Island Borough,2.07524789
AK,2164,1419975,Lake and Peninsula Borough,0.068958201
AK,2170,1419976,Matanuska-Susitna Borough,3.616521818
AK,2180,1419977,Nome Census Area,0.413382928
AK,2185,1419978,North Slope Borough,0.106318914
AK,2188,1419979,Northwest Arctic Borough,0.21148309
AK,2195,2516404,Petersburg Census Area,1.16240735
AK,2198,1419980,Prince of Wales-Hyder Census Area,1.41707366
AK,2220,1419981,Sitka City and Borough,3.094059622
AK,2230,2339479,Skagway Municipality,2.140054165
AK,2240,1419983,Southeast Fairbanks Census Area,0.283784347
AK,2261,1419984,Valdez-Cordova Census Area,0.28142622
AK,2270,1419985,Wade Hampton Census Area,0.436672965
AK,2275,2418874,Wrangell City and Borough,0.932132932
AK,2282,1419986,Yakutat City and Borough,0.086542091
AK,2290,1419987,Yukon-Koyukuk Census Area,0.038404234
AZ,4001,25441,Apache County,6.386949397
AZ,4003,25442,Cochise County,21.30272524
AZ,4005,25443,Coconino County,7.219605256
AZ,4007,40471,Gila County,11.2647656
AZ,4009,25444,Graham County,8.051750996
AZ,4011,42807,Greenlee County,4.577549229
AZ,4012,43540,La Paz County,4.553486521
AZ,4013,37026,Maricopa County,414.8975728
AZ,4015,25445,Mohave County,15.03904566
AZ,4017,42808,Navajo County,10.79843649
AZ,4019,25446,Pima County,106.7006813
AZ,4021,25447,Pinal County,70.03301767
AZ,4023,40472,Santa Cruz County,38.33728402
AZ,4025,42809,Yavapai County,25.97809146
AZ,4027,23901,Yuma County,35.50077693
AR,5001,63755,Arkansas County,19.23500915
AR,5003,63756,Ashley County,23.61595463
AR,5005,69895,Baxter County,74.89495438
AR,5007,69896,Benton County,261.2110362
AR,5009,69897,Boone County,62.52297829
AR,5011,63757,Bradley County,17.72558612
AR,5013,63758,Calhoun County,8.539869961
AR,5015,66975,Carroll County,43.55906407
AR,5017,69160,Chicot County,18.31433609
AR,5019,66845,Clark County,26.550849
AR,5021,63759,Clay County,25.15071192
AR,5023,66983,Cleburne County,46.90333254
AR,5025,63760,Cleveland County,14.53537488
AR,5027,63761,Columbia County,32.05000176
AR,5029,66846,Conway County,38.52059756
AR,5031,66847,Craighead County,136.3718634
AR,5033,69161,Crawford County,104.4488732
AR,5035,69162,Crittenden County,83.47874574
AR,5037,66848,Cross County,28.99180864
AR,5039,66849,Dallas County,12.16087841
AR,5041,66850,Desha County,16.93414845
AR,5043,66851,Drew County,22.34425778
AR,5045,66852,Faulkner County,174.7797445
AR,5047,66853,Franklin County,29.76889483
AR,5049,66854,Fulton County,19.80769791
AR,5051,66855,Garland County,141.6740806
AR,5053,66856,Grant County,28.2569574
AR,5055,66857,Greene County,72.85801083
AR,5057,66858,Hempstead County,31.07680888
AR,5059,66859,Hot Spring County,53.5157558
AR,5061,66872,Howard County,23.42860638
AR,5063,69163,Independence County,47.97022854
AR,5065,66860,Izard County,23.5903248
AR,5067,66861,Jackson County,28.38921156
AR,5069,66862,Jefferson County,88.92949264
AR,5071,66863,Johnson County,38.70846494
AR,5073,66864,Lafayette County,14.47182112
AR,5075,66865,Lawrence County,29.63680239
AR,5077,66866,Lee County,17.2977709
AR,5079,66873,Lincoln County,25.17109901
AR,5081,66874,Little River County,24.74575061
AR,5083,82850,Logan County,31.56646072
AR,5085,69164,Lonoke County,88.69017345
AR,5087,69165,Madison County,18.83956344
AR,5089,69898,Marion County,27.89405185
AR,5091,69166,Miller County,69.47494957
AR,5093,69899,Mississippi County,51.61152776
AR,5095,69167,Monroe County,13.42234345
AR,5097,69168,Montgomery County,12.164692
AR,5099,69169,Nevada County,14.56209324
AR,5101,69900,Newton County,10.14744864
AR,5103,69170,Ouachita County,35.64493172
AR,5105,69171,Perry County,18.94262262
AR,5107,69172,Phillips County,31.27520078
AR,5109,69173,Pike County,18.79897039
AR,5111,69174,Poinsett County,32.4147634
AR,5113,69175,Polk County,24.090598
AR,5115,69901,Pope County,76.00043321
AR,5117,69176,Prairie County,13.44994583
AR,5119,69177,Pulaski County,503.7728871
AR,5121,69178,Randolph County,27.55174481
AR,5123,83331,St. Francis County,44.51684151
AR,5125,67102,Saline County,148.0340076
AR,5127,69179,Scott County,12.58853326
AR,5129,69180,Searcy County,12.30304987
AR,5131,69181,Sebastian County,236.4004505
AR,5133,69182,Sevier County,30.18441905
AR,5135,69183,Sharp County,28.56202197
AR,5137,69902,Stone County,20.43848583
AR,5139,69903,Union County,40.067782
AR,5141,69904,Van Buren County,24.4230332
AR,5143,69905,Washington County,215.5757214
AR,5145,69906,White County,74.46416926
AR,5147,69907,Woodruff County,12.3723779
AR,5149,69908,Yell County,23.85524912
CA,6001,1675839,Alameda County,2043.621459
CA,6003,1675840,Alpine County,1.591424996
CA,6005,1675841,Amador County,64.0633856
CA,6007,1675842,Butte County,134.436199
CA,6009,1675885,Calaveras County,44.68378803
CA,6011,1675902,Colusa County,18.61338575
CA,6013,1675903,Contra Costa County,1465.247641
CA,6015,1682074,Del Norte County,28.42882311
CA,6017,277273,El Dorado County,106.0131168
CA,6019,277274,Fresno County,156.1684131
CA,6021,277275,Glenn County,21.40268976
CA,6023,1681908,Humboldt County,37.73079891
CA,6025,277277,Imperial County,41.78706954
CA,6027,1804637,Inyo County,1.821650174
CA,6029,2054176,Kern County,103.2513125
CA,6031,277280,Kings County,110.1049359
CA,6033,277281,Lake County,51.46585975
CA,6035,1693324,Lassen County,7.684119384
CA,6037,277283,Los Angeles County,2419.636687
CA,6039,277284,Madera County,70.59435142
CA,6041,277285,Marin County,485.1164507
CA,6043,277286,Mariposa County,12.5971828
CA,6045,277287,Mendocino County,25.05202714
CA,6047,277288,Merced County,132.1946778
CA,6049,277289,Modoc County,2.472324817
CA,6051,277290,Mono County,4.657948128
CA,6053,277291,Monterey County,126.5188175
CA,6055,277292,Napa County,182.376978
CA,6057,1682927,Nevada County,103.1184875
CA,6059,277294,Orange County,3807.682578
CA,6061,277295,Placer County,247.640207
CA,6063,277296,Plumas County,7.83653076
CA,6065,277297,Riverside County,303.8433465
CA,6067,277298,Sacramento County,1470.789224
CA,6069,277299,San Benito County,39.79880609
CA,6071,277300,San Bernardino County,101.4716204
CA,6073,277301,San Diego County,735.8177448
CA,6075,277302,San Francisco County,17179.07964
CA,6077,277303,San Joaquin County,492.5574382
CA,6079,277304,San Luis Obispo County,81.74367839
CA,6081,277305,San Mateo County,1602.226098
CA,6083,277306,Santa Barbara County,154.9842144
CA,6085,277307,Santa Clara County,1381.010774
CA,6087,277308,Santa Cruz County,589.3973089
CA,6089,1682610,Shasta County,46.94149126
CA,6091,277310,Sierra County,3.399026871
CA,6093,277311,Siskiyou County,7.152087956
CA,6095,277312,Solano County,502.9953819
CA,6097,1657246,Sonoma County,307.0586078
CA,6099,277314,Stanislaus County,344.1555444
CA,6101,277315,Sutter County,157.2633256
CA,6103,1692767,Tehama County,21.51500368
CA,6105,277317,Trinity County,4.336237369
CA,6107,277318,Tulare County,91.65822833
CA,6109,277319,Tuolumne County,24.9292624
CA,6111,277320,Ventura County,446.6948397
CA,6113,277321,Yolo County,197.9414382
CA,6115,277322,Yuba County,114.1983955
CO,8001,198116,Adams County,378.1971185
CO,8003,198117,Alamosa County,21.37293242
CO,8005,198118,Arapahoe County,716.7059266
CO,8007,198119,Archuleta County,8.949950932
CO,8009,198120,Baca County,1.482602319
CO,8011,198121,Bent County,4.295834184
CO,8013,198122,Boulder County,405.5782202
CO,8014,1945881,Broomfield County,1691.862929
CO,8015,198123,Chaffee County,17.57346288
CO,8017,198124,Cheyenne County,1.032460653
CO,8019,198125,Clear Creek County,22.99438044
CO,8021,198126,Conejos County,6.412970108
CO,8023,198127,Costilla County,2.872157998
CO,8025,198128,Crowley County,7.395027565
CO,8027,198129,Custer County,5.760704011
CO,8029,198130,Delta County,27.10214089
CO,8031,198131,Denver County,3922.601307
CO,8033,198132,Dolores County,1.934303046
CO,8035,198133,Douglas County,339.7389818
CO,8037,198134,Eagle County,30.98609108
CO,8039,198136,Elbert County,12.47320821
CO,8041,198135,El Paso County,292.5816755
CO,8043,198137,Fremont County,30.54267652
CO,8045,198138,Garfield County,19.13071917
CO,8047,198139,Gilpin County,36.29850029
CO,8049,198140,Grand County,8.039191261
CO,8051,198141,Gunnison County,4.730943781
CO,8053,198142,Hinsdale County,0.75453054
CO,8055,198143,Huerfano County,4.218099172
CO,8057,198144,Jackson County,0.863840944
CO,8059,198145,Jefferson County,699.4731801
CO,8061,198146,Kiowa County,0.790828203
CO,8063,198147,Kit Carson County,3.827247224
CO,8065,198149,Lake County,19.39449897
CO,8067,198148,La Plata County,30.33784495
CO,8069,198150,Larimer County,115.4197878
CO,8071,198151,Las Animas County,3.249123342
CO,8073,198152,Lincoln County,2.120943845
CO,8075,198153,Logan County,12.35160156
CO,8077,198154,Mesa County,44.07454068
CO,8079,198155,Mineral County,0.813095404
CO,8081,198156,Moffat County,2.908318909
CO,8083,198157,Montezuma County,12.58174934
CO,8085,198158,Montrose County,18.42107025
CO,8087,198159,Morgan County,21.99177934
CO,8089,198160,Otero County,14.92201423
CO,8091,198161,Ouray County,8.19065239
CO,8093,198162,Park County,7.387027166
CO,8095,198163,Phillips County,6.457071089
CO,8097,198164,Pitkin County,17.66565674
CO,8099,198165,Prowers County,7.660545839
CO,8101,198166,Pueblo County,66.66222428
CO,8103,198167,Rio Blanco County,2.069586027
CO,8105,198168,Rio Grande County,13.13876297
CO,8107,198169,Routt County,9.952896369
CO,8109,198170,Saguache County,1.927710843
CO,8111,198171,San Juan County,1.803926831
CO,8113,198172,San Miguel County,5.719677509
CO,8115,198173,Sedgwick County,4.340916099
CO,8117,198174,Summit County,46.01566841
CO,8119,198175,Teller County,41.91686638
CO,8121,198176,Washington County,1.911811253
CO,8123,198177,Weld County,63.40855499
CO,8125,198178,Yuma County,4.247580258
CT,9001,212794,Fairfield County,1467.184624
CT,9003,212338,Hartford County,1216.185075
CT,9005,212796,Litchfield County,206.3168072
CT,9007,212797,Middlesex County,448.620502
CT,9009,212798,New Haven County,1426.746798
CT,9011,212799,New London County,412.1884015
CT,9013,212668,Tolland County,372.222791
CT,9015,212801,Windham County,230.8943089
DE,10001,217271,Kent County,276.8949416
DE,10003,217270,New Castle County,1263.187156
DE,10005,217269,Sussex County,210.6072244
DC,11001,1702382,District of Columbia,9856.555497
FL,12001,308548,Alachua County,282.6632534
FL,12003,306920,Baker County,46.3321321
FL,12005,295738,Bay County,222.6250859
FL,12007,303634,Bradford County,97.01934264
FL,12009,295749,Brevard County,534.9958254
FL,12011,295753,Broward County,1444.93939
FL,12013,306919,Calhoun County,25.7784656
FL,12015,295742,Charlotte County,235.1652778
FL,12017,295752,Citrus County,242.8003631
FL,12019,295726,Clay County,315.8134225
FL,12021,295754,Collier County,160.8948299
FL,12023,306909,Columbia County,84.67051333
FL,12027,294452,DeSoto County,54.72334588
FL,12029,295725,Dixie County,23.291866
FL,12031,293656,Duval County,1133.917701
FL,12033,295737,Escambia County,453.3688978
FL,12035,308547,Flagler County,197.1239708
FL,12037,306911,Franklin County,21.59801767
FL,12039,306918,Gadsden County,89.8433566
FL,12041,303633,Gilchrist County,48.44184776
FL,12043,295743,Glades County,15.98493317
FL,12045,306917,Gulf County,28.12528811
FL,12047,295736,Hamilton County,28.8035968
FL,12049,295746,Hardee County,43.480306
FL,12051,307626,Hendry County,33.95358924
FL,12053,295751,Hernando County,365.6375453
FL,12055,295756,Highlands County,97.1714956
FL,12057,295757,Hillsborough County,1204.870743
FL,12059,295735,Holmes County,41.62062923
FL,12061,307624,Indian River County,274.4793904
FL,12063,295734,Jackson County,54.20371339
FL,12065,295733,Jefferson County,24.68002575
FL,12067,295732,Lafayette County,16.32282011
FL,12069,308551,Lake County,316.5579866
FL,12071,295758,Lee County,788.7109583
FL,12073,306916,Leon County,413.1156538
FL,12075,295724,Levy County,36.4879101
FL,12077,308549,Liberty County,10.01122598
FL,12079,295731,Madison County,27.62275342
FL,12081,295744,Manatee County,434.5396813
FL,12083,306922,Marion County,209.0807083
FL,12085,308550,Martin County,269.2321847
FL,12086,295755,Miami-Dade County,1315.494521
FL,12087,295759,Monroe County,74.33269398
FL,12089,295730,Nassau County,113.0274313
FL,12091,306915,Okaloosa County,194.3806322
FL,12093,295760,Okeechobee County,52.01662618
FL,12095,295750,Orange County,1268.451644
FL,12097,295748,Osceola County,202.4064129
FL,12099,295761,Palm Beach County,670.1994098
FL,12101,295739,Pasco County,622.1792884
FL,12103,295745,Pinellas County,3347.499443
FL,12105,295747,Polk County,334.89966
FL,12107,306910,Putnam County,102.2014178
FL,12109,308371,St. Johns County,316.3862783
FL,12111,308372,St. Lucie County,485.7079412
FL,12113,306914,Santa Rosa County,149.6354803
FL,12115,295741,Sarasota County,682.6224931
FL,12117,303665,Seminole County,1367.041695
FL,12119,295740,Sumter County,170.8070276
FL,12121,295729,Suwannee County,60.34547863
FL,12123,295728,Taylor County,21.63317534
FL,12125,306913,Union County,63.78409893
FL,12127,306921,Volusia County,449.2085607
FL,12129,306912,Wakulla County,50.75038876
FL,12131,295727,Walton County,53.04710276
FL,12133,295762,Washington County,42.71769363
GA,13001,349113,Appling County,35.9626963
GA,13003,345784,Atkinson County,24.67720739
GA,13005,344784,Bacon County,42.91194852
GA,13007,342832,Baker County,10.09229581
GA,13009,345255,Baldwin County,177.316517
GA,13011,349230,Banks County,79.25770495
GA,13013,356976,Barrow County,432.7080825
GA,13015,351604,Bartow County,217.9486622
GA,13017,351606,Ben Hill County,70.50187709
GA,13019,326638,Berrien County,42.67786686
GA,13021,1672039,Bibb County,622.7808874
GA,13023,347451,Bleckley County,60.51327188
GA,13025,351605,Brantley County,41.61975938
GA,13027,345518,Brooks County,32.94418776
GA,13029,350496,Bryan County,69.34699186
GA,13031,350302,Bulloch County,104.3639428
GA,13033,347944,Burke County,28.19456134
GA,13035,352295,Butts County,128.2857809
GA,13037,344074,Calhoun County,23.87584844
GA,13039,1671316,Camden County,82.39957587
GA,13043,342852,Candler County,45.25106565
GA,13045,326650,Carroll County,221.4632641
GA,13047,353230,Catoosa County,394.3166892
GA,13049,357747,Charlton County,15.73342503
GA,13051,1694477,Chatham County,621.7284147
GA,13053,351012,Chattahoochee County,45.29702174
GA,13055,352213,Chattooga County,83.0253592
GA,13057,1685718,Cherokee County,508.3215944
GA,13059,1672699,Clarke County,979.1442953
GA,13061,344805,Clay County,16.29124633
GA,13063,1672399,Clayton County,1832.478632
GA,13065,351285,Clinch County,8.495142598
GA,13067,1686112,Cobb County,2026.446846
GA,13069,347456,Coffee County,73.65018423
GA,13071,343936,Colquitt County,83.61251339
GA,13073,348865,Columbia County,427.6362508
GA,13075,343878,Cook County,75.76971501
GA,13077,326666,Coweta County,288.7713998
GA,13079,342918,Crawford County,38.87493536
GA,13081,351607,Crisp County,85.98848791
GA,13083,347465,Dade County,95.60239336
GA,13085,351312,Dawson County,105.914718
GA,13087,352234,Decatur County,46.62558194
GA,13089,1687424,DeKalb County,2585.723255
GA,13091,348116,Dodge County,43.95329609
GA,13093,351608,Dooly County,38.06194826
GA,13095,351259,Dougherty County,287.7035739
GA,13097,1686467,Douglas County,661.7932992
GA,13099,345041,Early County,21.47508555
GA,13101,348092,Echols County,9.722965384
GA,13103,350219,Effingham County,109.3782709
GA,13105,347828,Elbert County,57.44399026
GA,13107,347508,Emanuel County,33.20286099
GA,13109,345923,Evans County,60.15761295
GA,13111,351094,Fannin County,61.23763003
GA,13113,1687740,Fayette County,548.3477581
GA,13115,353665,Floyd County,188.8898259
GA,13117,1673358,Forsyth County,783.4578008
GA,13119,349324,Franklin County,84.45221169
GA,13121,1694833,Fulton County,1748.043711
GA,13123,351260,Gilmer County,66.32906644
GA,13125,345642,Glascock County,21.44149158
GA,13127,1671513,Glynn County,189.6972743
GA,13129,356672,Gordon County,155.1005036
GA,13131,351261,Grady County,55.02643407
GA,13133,348672,Greene County,41.28176339
GA,13135,1688166,Gwinnett County,1871.172886
GA,13137,351383,Habersham County,155.5286551
GA,13139,1686953,Hall County,457.4649551
GA,13141,348209,Hancock County,19.98342662
GA,13143,350637,Haralson County,101.9970585
GA,13145,326700,Harris County,69.03673235
GA,13147,1687995,Hart County,108.492474
GA,13149,347067,Heard County,39.97567814
GA,13151,1671894,Henry County,633.048456
GA,13153,1671693,Houston County,372.5292312
GA,13155,352302,Irwin County,26.91742182
GA,13157,349570,Jackson County,178.0735611
GA,13159,346144,Jasper County,37.75481102
GA,13161,1687999,Jeff Davis County,45.5584447
GA,13163,345714,Jefferson County,32.15666163
GA,13165,342985,Jenkins County,24.01527302
GA,13167,346664,Johnson County,32.93620673
GA,13169,345367,Jones County,72.77633506
GA,13171,326713,Lamar County,99.82016349
GA,13173,348102,Lanier County,54.39892908
GA,13175,346568,Laurens County,59.99534248
GA,13177,343390,Lee County,79.53702246
GA,13179,357095,Liberty County,129.5485309
GA,13181,1688000,Lincoln County,38.00741515
GA,13183,326719,Long County,36.13353219
GA,13185,326720,Lowndes County,220.198522
GA,13187,357196,Lumpkin County,105.9120004
GA,13189,348794,McDuffie County,84.96432469
GA,13191,356886,McIntosh County,33.78042371
GA,13193,346957,Macon County,36.79104235
GA,13195,1688004,Madison County,99.60646238
GA,13197,344107,Marion County,23.88505012
GA,13199,346892,Meriwether County,43.87667765
GA,13201,344088,Miller County,21.68748075
GA,13205,343645,Mitchell County,45.88691331
GA,13207,343073,Monroe County,66.78495064
GA,13209,352276,Montgomery County,38.0882003
GA,13211,346008,Morgan County,51.44105784
GA,13213,1688005,Murray County,115.0418329
GA,13215,357428,Muscogee County,877.5331007
GA,13217,1673547,Newton County,367.2752525
GA,13219,356774,Oconee County,178.0237669
GA,13221,351262,Oglethorpe County,33.9375689
GA,13223,349912,Paulding County,455.8466974
GA,13225,343153,Peach County,184.30527
GA,13227,1673011,Pickens County,126.8265986
GA,13229,349086,Pierce County,59.26810619
GA,13231,346482,Pike County,82.69392742
GA,13233,343585,Polk County,133.6476214
GA,13235,347593,Pulaski County,48.22692757
GA,13237,347246,Putnam County,61.56587037
GA,13239,350547,Quitman County,16.61630421
GA,13241,351489,Rabun County,43.99002143
GA,13243,352242,Randolph County,18.02510765
GA,13245,358024,Richmond County,618.3562218
GA,13247,357592,Rockdale County,656.5454223
GA,13249,344129,Schley County,30.01689574
GA,13251,350204,Screven County,22.62126396
GA,13253,351263,Seminole County,37.10899305
GA,13255,353055,Spalding County,326.1226962
GA,13257,350028,Stephens County,146.1221118
GA,13259,347360,Stewart County,13.20593897
GA,13261,343504,Sumter County,67.99089284
GA,13263,326757,Talbot County,17.54009438
GA,13265,347654,Taliaferro County,8.822864425
GA,13267,347445,Tattnall County,53.23287506
GA,13269,344156,Taylor County,23.64303425
GA,13271,356958,Telfair County,37.73127557
GA,13273,352238,Terrell County,27.76957957
GA,13275,343835,Thomas County,82.11591712
GA,13277,344090,Tift County,154.9466041
GA,13279,345220,Toombs County,74.78743424
GA,13281,351252,Towns County,62.86510209
GA,13283,347505,Treutlen County,34.52235304
GA,13285,1673298,Troup County,161.9467231
GA,13287,343238,Turner County,31.29018581
GA,13289,345456,Twiggs County,25.17592174
GA,13291,353193,Union County,66.3382268
GA,13293,346759,Upson County,83.95143413
GA,13295,354216,Walker County,154.0305436
GA,13297,351264,Walton County,257.2095308
GA,13299,357722,Ware County,40.68749223
GA,13301,347777,Warren County,20.52072122
GA,13303,348428,Washington County,31.22844357
GA,13305,350608,Wayne County,46.8994682
GA,13307,352287,Webster County,13.38478754
GA,13309,351278,Wheeler County,25.11472702
GA,13311,326781,White County,112.7776439
GA,13313,353513,Whitfield County,353.224496
GA,13315,345499,Wilcox County,24.50324989
GA,13317,351265,Wilkes County,22.56278089
GA,13319,346824,Wilkinson County,21.37900507
GA,13321,343365,Worth County,37.9865499
HI,15001,365280,Hawaii County,45.94335691
HI,15003,365281,Honolulu County,1586.713453
HI,15005,1702380,Kalawao County,7.505629222
HI,15007,365282,Kauai County,108.2189704
HI,15009,365283,Maui County,133.3027987
ID,16001,395066,Ada County,372.7664321
ID,16003,395067,Adams County,2.916974798
ID,16005,395091,Bannock County,74.49630751
ID,16007,395090,Bear Lake County,6.140841314
ID,16009,395190,Benewah County,11.95570017
ID,16011,400593,Bingham County,21.78007601
ID,16013,395696,Blaine County,8.085986232
ID,16015,395157,Boise County,3.700433385
ID,16017,395158,Bonner County,23.56603037
ID,16019,395407,Bonneville County,55.85728778
ID,16021,395159,Boundary County,8.64917702
ID,16023,401703,Butte County,1.295444168
ID,16025,399408,Camas County,1.039560053
ID,16027,399406,Canyon County,321.6422357
ID,16029,395406,Caribou County,3.946952236
ID,16031,395698,Cassia County,8.947865584
ID,16033,399755,Clark County,0.556630966
ID,16035,395697,Clearwater County,3.565332967
ID,16037,399758,Custer County,0.887635289
ID,16039,400252,Elmore County,8.793594771
ID,16041,395585,Franklin County,19.26632462
ID,16043,395408,Fremont County,7.105888035
ID,16045,395442,Gem County,29.80745231
ID,16047,395441,Gooding County,21.21340571
ID,16049,395699,Idaho County,1.918877499
ID,16051,399751,Jefferson County,23.90487069
ID,16053,395662,Jerome County,37.46577694
ID,16055,395661,Kootenai County,111.3183965
ID,16057,395613,Latah County,34.61351157
ID,16059,399754,Lemhi County,1.739059168
ID,16061,395622,Lewis County,7.980450924
ID,16063,395624,Lincoln County,4.334924526
ID,16065,394803,Madison County,79.998977
ID,16067,394807,Minidoka County,26.49054701
ID,16069,399394,Nez Perce County,46.29804314
ID,16071,399759,Oneida County,3.571485116
ID,16073,399760,Owyhee County,1.503617958
ID,16075,394896,Payette County,55.60293659
ID,16077,394951,Power County,5.566696386
ID,16079,1702379,Shoshone County,4.854230482
ID,16081,399297,Teton County,22.62735396
ID,16083,399334,Twin Falls County,40.19856205
ID,16085,399756,Valley County,2.691215618
ID,16087,399757,Washington County,7.018669192
IL,17001,424202,Adams County,78.46450312
IL,17003,424203,Alexander County,34.97955492
IL,17005,424204,Bond County,46.72358979
IL,17007,424205,Boone County,192.9509581
IL,17009,424206,Brown County,22.69908739
IL,17011,424207,Bureau County,40.24942724
IL,17013,424208,Calhoun County,20.04924653
IL,17015,424209,Carroll County,34.59253114
IL,17017,424210,Cass County,36.29948539
IL,17019,424211,Champaign County,201.8346506
IL,17021,424212,Christian County,49.05713041
IL,17023,424213,Clark County,32.5776099
IL,17025,424214,Clay County,29.49931243
IL,17027,424215,Clinton County,79.65238301
IL,17029,424216,Coles County,105.9884987
IL,17031,1784766,Cook County,5495.114913
IL,17033,424218,Crawford County,44.67020867
IL,17035,424219,Cumberland County,31.92842115
IL,17037,422190,DeKalb County,166.5750578
IL,17039,426598,De Witt County,41.66153057
IL,17041,424222,Douglas County,47.95219181
IL,17043,422191,DuPage County,2799.776488
IL,17045,424224,Edgar County,29.7991254
IL,17047,424225,Edwards County,30.21814977
IL,17049,424226,Effingham County,71.5197263
IL,17051,424227,Fayette County,30.90098565
IL,17053,424228,Ford County,28.99616158
IL,17055,424229,Franklin County,96.75241936
IL,17057,424230,Fulton County,42.82487769
IL,17059,424231,Gallatin County,17.29960287
IL,17061,424232,Greene County,25.57184924
IL,17063,424233,Grundy County,119.7556232
IL,17065,424234,Hamilton County,19.45636295
IL,17067,424235,Hancock County,24.06875924
IL,17069,424236,Hardin County,24.33418954
IL,17071,424237,Henderson County,19.34954285
IL,17073,424238,Henry County,61.34498199
IL,17075,424239,Iroquois County,26.59766798
IL,17077,424240,Jackson County,103.098714
IL,17079,424241,Jasper County,19.61133243
IL,17081,424242,Jefferson County,67.97812907
IL,17083,424243,Jersey County,62.24425964
IL,17085,424244,Jo Daviess County,37.72831554
IL,17087,424245,Johnson County,36.5846212
IL,17089,424246,Kane County,990.7914117
IL,17091,424247,Kankakee County,167.6860452
IL,17093,424248,Kendall County,358.1750355
IL,17095,424249,Knox County,73.86846642
IL,17097,1784796,Lake County,1585.552325
IL,17099,422247,LaSalle County,100.3626036
IL,17101,424252,Lawrence County,45.22835847
IL,17103,424253,Lee County,49.70506114
IL,17105,424254,Livingston County,37.29824713
IL,17107,424255,Logan County,49.03253573
IL,17109,1784729,McDonough County,55.3301878
IL,17111,1784815,McHenry County,511.8946368
