geoid,county_name,median_income_dollars,mean_income_dollars
2275,"Wrangell City and Borough, Alaska",50000,71537
2282,"Yakutat City and Borough, Alaska",74844,85346
2290,"Yukon-Koyukuk Census Area, Alaska",35335,48366
4001,"Apache County, Arizona",31011,41584
4003,"Cochise County, Arizona",45906,59099
4005,"Coconino County, Arizona",49615,63513
4007,"Gila County, Arizona",37905,48895
4009,"Graham County, Arizona",43083,51163
4011,"Greenlee County, Arizona",49390,52073
4012,"La Paz County, Arizona",32220,42936
4013,"Maricopa County, Arizona",55099,74071
4015,"Mohave County, Arizona",40573,51957
4017,"Navajo County, Arizona",38975,50506
4019,"Pima County, Arizona",46341,62891
4021,"Pinal County, Arizona",51212,60945
4023,"Santa Cruz County, Arizona",38092,55472
4025,"Yavapai County, Arizona",44084,59676
4027,"Yuma County, Arizona",41441,52458
5001,"Arkansas County, Arkansas",38986,51988
5003,"Ashley County, Arkansas",35657,46711
5005,"Baxter County, Arkansas",35589,48225
5007,"Benton County, Arkansas",52159,69311
5009,"Boone County, Arkansas",37703,51949
5011,"Bradley County, Arkansas",32337,45772
5013,"Calhoun County, Arkansas",30625,39311
5015,"Carroll County, Arkansas",36031,48745
5017,"Chicot County, Arkansas",23954,40051
5019,"Clark County, Arkansas",32998,48255
5021,"Clay County, Arkansas",31135,42247
5023,"Cleburne County, Arkansas",38510,50548
5025,"Cleveland County, Arkansas",34292,48662
5027,"Columbia County, Arkansas",36163,50456
5029,"Conway County, Arkansas",31890,48317
5031,"Craighead County, Arkansas",40221,57343
5033,"Crawford County, Arkansas",40409,49093
5035,"Crittenden County, Arkansas",35264,49387
5037,"Cross County, Arkansas",38432,46817
5039,"Dallas County, Arkansas",30011,41289
5041,"Desha County, Arkansas",30786,45709
5043,"Drew County, Arkansas",32038,44414
5045,"Faulkner County, Arkansas",47649,60997
5047,"Franklin County, Arkansas",34819,48674
5049,"Fulton County, Arkansas",33281,43263
5051,"Garland County, Arkansas",38210,53158
5053,"Grant County, Arkansas",50927,59606
5055,"Greene County, Arkansas",39090,48315
5057,"Hempstead County, Arkansas",34885,45130
5059,"Hot Spring County, Arkansas",38188,47542
5061,"Howard County, Arkansas",37146,49248
5063,"Independence County, Arkansas",34878,48926
5065,"Izard County, Arkansas",31865,41768
5067,"Jackson County, Arkansas",31352,41948
5069,"Jefferson County, Arkansas",37682,50027
5071,"Johnson County, Arkansas",31400,46650
5073,"Lafayette County, Arkansas",30152,44703
5075,"Lawrence County, Arkansas",32337,38506
5077,"Lee County, Arkansas",25270,33199
5079,"Lincoln County, Arkansas",31480,47487
5081,"Little River County, Arkansas",38564,48511
5083,"Logan County, Arkansas",38447,49800
5085,"Lonoke County, Arkansas",51096,60400
5087,"Madison County, Arkansas",35579,47310
5089,"Marion County, Arkansas",34063,44740
5091,"Miller County, Arkansas",40200,50281
5093,"Mississippi County, Arkansas",34267,47918
5095,"Monroe County, Arkansas",28306,40020
5097,"Montgomery County, Arkansas",34934,50267
5099,"Nevada County, Arkansas",38006,49298
5101,"Newton County, Arkansas",29702,39500
5103,"Ouachita County, Arkansas",33008,44183
5105,"Perry County, Arkansas",42514,50903
5107,"Phillips County, Arkansas",28225,41154
5109,"Pike County, Arkansas",32457,44875
5111,"Poinsett County, Arkansas",31939,41857
5113,"Polk County, Arkansas",32395,44723
5115,"Pope County, Arkansas",40325,52254
5117,"Prairie County, Arkansas",36194,43346
5119,"Pulaski County, Arkansas",45897,65615
5121,"Randolph County, Arkansas",33072,46251
5123,"St. Francis County, Arkansas",26360,38041
5125,"Saline County, Arkansas",52982,64491
5127,"Scott County, Arkansas",38910,46671
5129,"Searcy County, Arkansas",29384,34843
5131,"Sebastian County, Arkansas",40680,58619
5133,"Sevier County, Arkansas",35289,43150
5135,"Sharp County, Arkansas",29590,37254
5137,"Stone County, Arkansas",31364,39064
5139,"Union County, Arkansas",37794,51393
5141,"Van Buren County, Arkansas",32906,42978
5143,"Washington County, Arkansas",41474,59173
5145,"White County, Arkansas",41618,54497
5147,"Woodruff County, Arkansas",27047,42648
5149,"Yell County, Arkansas",37477,46340
6001,"Alameda County, California",70821,94035
6003,"Alpine County, California",59018,81595
6005,"Amador County, California",56180,73405
6007,"Butte County, California",42971,57911
6009,"Calaveras County, California",55256,68942
6011,"Colusa County, California",49558,62210
6013,"Contra Costa County, California",79135,104712
6015,"Del Norte County, California",37588,51726
6017,"El Dorado County, California",68815,88422
6019,"Fresno County, California",46903,64189
6021,"Glenn County, California",43239,59375
6023,"Humboldt County, California",40376,57356
6025,"Imperial County, California",39402,55874
6027,"Inyo County, California",49571,62042
6029,"Kern County, California",48021,63893
6031,"Kings County, California",48838,62379
6033,"Lake County, California",39525,53777
6035,"Lassen County, California",52484,63417
6037,"Los Angeles County, California",56266,81636
6039,"Madera County, California",47724,62827
6041,"Marin County, California",89605,130703
6043,"Mariposa County, California",49174,61656
6045,"Mendocino County, California",44527,58079
6047,"Merced County, California",43945,60033
6049,"Modoc County, California",35402,49554
6051,"Mono County, California",60469,69593
6053,"Monterey County, California",59737,80672
6055,"Napa County, California",68641,94894
6057,"Nevada County, California",58077,74488
6059,"Orange County, California",75762,101382
6061,"Placer County, California",74645,92249
6063,"Plumas County, California",44151,58752
6065,"Riverside County, California",58365,75907
6067,"Sacramento County, California",56553,73150
6069,"San Benito County, California",65570,82360
6071,"San Bernardino County, California",55853,70778
6073,"San Diego County, California",63857,84949
6075,"San Francisco County, California",72947,105753
6077,"San Joaquin County, California",53764,71083
6079,"San Luis Obispo County, California",58630,77132
6081,"San Mateo County, California",87633,123451
6083,"Santa Barbara County, California",61896,86740
6085,"Santa Clara County, California",89064,116722
6087,"Santa Cruz County, California",66030,89277
6089,"Shasta County, California",44058,58926
6091,"Sierra County, California",50308,56825
6093,"Siskiyou County, California",37865,50121
6095,"Solano County, California",69914,84603
6097,"Sonoma County, California",64343,84011
6099,"Stanislaus County, California",50671,65754
6101,"Sutter County, California",50010,64889
6103,"Tehama County, California",38753,53244
6105,"Trinity County, California",37672,51881
6107,"Tulare County, California",43550,58931
6109,"Tuolumne County, California",47359,63178
6111,"Ventura County, California",76728,97940
6113,"Yolo County, California",57920,79168
6115,"Yuba County, California",46617,59063
8001,"Adams County, Colorado",56089,68274
8003,"Alamosa County, Colorado",38299,53005
8005,"Arapahoe County, Colorado",59937,81282
8007,"Archuleta County, Colorado",60170,78731
8009,"Baca County, Colorado",37111,48694
8011,"Bent County, Colorado",35667,44944
8013,"Boulder County, Colorado",66479,92124
8014,"Broomfield County, Colorado",76531,94543
8015,"Chaffee County, Colorado",43684,59345
8017,"Cheyenne County, Colorado",47188,55528
8019,"Clear Creek County, Colorado",62756,77398
8021,"Conejos County, Colorado",34435,46454
8023,"Costilla County, Colorado",25949,41157
8025,"Crowley County, Colorado",40636,52685
8027,"Custer County, Colorado",43358,58567
8029,"Delta County, Colorado",41856,56267
8031,"Denver County, Colorado",47499,71297
8033,"Dolores County, Colorado",44077,50691
8035,"Douglas County, Colorado",101193,120599
8037,"Eagle County, Colorado",70914,100722
8039,"Elbert County, Colorado",79367,94473
8041,"El Paso County, Colorado",57079,73850
8043,"Fremont County, Colorado",38979,51746
8045,"Garfield County, Colorado",63929,74810
8047,"Gilpin County, Colorado",59394,71846
8049,"Grand County, Colorado",64281,76082
8051,"Gunnison County, Colorado",50073,67491
8053,"Hinsdale County, Colorado",77321,84981
8055,"Huerfano County, Colorado",29737,47223
8057,"Jackson County, Colorado",48571,53742
8059,"Jefferson County, Colorado",67827,86035
8061,"Kiowa County, Colorado",41542,56898
8063,"Kit Carson County, Colorado",43194,54035
8065,"Lake County, Colorado",40543,50397
8067,"La Plata County, Colorado",56910,73502
8069,"Larimer County, Colorado",57215,74239
8071,"Las Animas County, Colorado",40617,53334
8073,"Lincoln County, Colorado",43375,61862
8075,"Logan County, Colorado",42324,57758
8077,"Mesa County, Colorado",52986,68431
8079,"Mineral County, Colorado",54375,97120
8081,"Moffat County, Colorado",50758,59767
8083,"Montezuma County, Colorado",45623,59778
8085,"Montrose County, Colorado",47479,57576
8087,"Morgan County, Colorado",42792,52122
8089,"Otero County, Colorado",31246,42733
8091,"Ouray County, Colorado",61935,75850
8093,"Park County, Colorado",61284,71273
8095,"Phillips County, Colorado",44717,50853
8097,"Pitkin County, Colorado",68242,122136
8099,"Prowers County, Colorado",34513,48082
8101,"Pueblo County, Colorado",41273,54454
8103,"Rio Blanco County, Colorado",63125,71173
8105,"Rio Grande County, Colorado",37885,50208
8107,"Routt County, Colorado",64230,80890
8109,"Saguache County, Colorado",33672,45396
8111,"San Juan County, Colorado",36378,44380
8113,"San Miguel County, Colorado",66789,97179
8115,"Sedgwick County, Colorado",36797,51101
8117,"Summit County, Colorado",67915,82637
8119,"Teller County, Colorado",57931,69703
8121,"Washington County, Colorado",43945,57597
8123,"Weld County, Colorado",55825,69712
8125,"Yuma County, Colorado",44991,55725
9001,"Fairfield County, Connecticut",82558,132045
9003,"Hartford County, Connecticut",64007,84961
9005,"Litchfield County, Connecticut",71497,91321
9007,"Middlesex County, Connecticut",77095,96654
9009,"New Haven County, Connecticut",62497,82160
9011,"New London County, Connecticut",67010,83884
9013,"Tolland County, Connecticut",80333,93033
9015,"Windham County, Connecticut",60063,71288
10001,"Kent County, Delaware",54783,64599
10003,"New Castle County, Delaware",64158,83725
10005,"Sussex County, Delaware",53215,68140
11001,"District of Columbia, District of Columbia",61835,96183
12001,"Alachua County, Florida",41373,61392
12003,"Baker County, Florida",47041,60106
12005,"Bay County, Florida",48225,60798
12007,"Bradford County, Florida",41397,50957
12009,"Brevard County, Florida",50068,66517
12011,"Broward County, Florida",51782,72242
12013,"Calhoun County, Florida",31142,41239
12015,"Charlotte County, Florida",45112,58833
12017,"Citrus County, Florida",38189,51311
12019,"Clay County, Florida",59994,72870
12021,"Collier County, Florida",56876,94212
12023,"Columbia County, Florida",38589,49925
12027,"DeSoto County, Florida",36407,47338
12029,"Dixie County, Florida",34243,44819
12031,"Duval County, Florida",49964,65839
12033,"Escambia County, Florida",43707,59630
12035,"Flagler County, Florida",48708,60611
12037,"Franklin County, Florida",37017,51840
12039,"Gadsden County, Florida",33453,46372
12041,"Gilchrist County, Florida",38467,50701
12043,"Glades County, Florida",39611,49478
12045,"Gulf County, Florida",41291,49654
12047,"Hamilton County, Florida",36683,48899
12049,"Hardee County, Florida",38046,51720
12051,"Hendry County, Florida",37989,48507
12053,"Hernando County, Florida",42700,53374
12055,"Highlands County, Florida",34913,45768
12057,"Hillsborough County, Florida",50195,69276
12059,"Holmes County, Florida",33510,42421
12061,"Indian River County, Florida",46363,73182
12063,"Jackson County, Florida",39869,50587
12065,"Jefferson County, Florida",42096,52413
12067,"Lafayette County, Florida",49713,57209
12069,"Lake County, Florida",47509,62112
12071,"Lee County, Florida",49444,70175
12073,"Leon County, Florida",45827,64688
12075,"Levy County, Florida",35920,47369
12077,"Liberty County, Florida",40893,51381
12079,"Madison County, Florida",36557,46416
12081,"Manatee County, Florida",48181,65825
12083,"Marion County, Florida",40103,53407
12085,"Martin County, Florida",53612,84450
12086,"Miami-Dade County, Florida",43957,65652
12087,"Monroe County, Florida",53889,82274
12089,"Nassau County, Florida",58933,75288
12091,"Okaloosa County, Florida",54140,70121
12093,"Okeechobee County, Florida",36929,53768
12095,"Orange County, Florida",49731,68054
12097,"Osceola County, Florida",46479,57206
12099,"Palm Beach County, Florida",52951,81578
12101,"Pasco County, Florida",44103,58074
12103,"Pinellas County, Florida",45891,64111
12105,"Polk County, Florida",44398,57426
12107,"Putnam County, Florida",34174,45803
12109,"St. Johns County, Florida",64153,92106
12111,"St. Lucie County, Florida",44947,58695
12113,"Santa Rosa County, Florida",55913,69407
12115,"Sarasota County, Florida",49212,71767
12117,"Seminole County, Florida",58908,79008
12119,"Sumter County, Florida",44817,55355
12121,"Suwannee County, Florida",37775,47740
12123,"Taylor County, Florida",38005,49927
12125,"Union County, Florida",45645,53970
12127,"Volusia County, Florida",44169,58334
12129,"Wakulla County, Florida",54151,61468
12131,"Walton County, Florida",46926,64714
12133,"Washington County, Florida",37036,47594
13001,"Appling County, Georgia",34989,46788
13003,"Atkinson County, Georgia",32814,43724
13005,"Bacon County, Georgia",32065,43168
13007,"Baker County, Georgia",27255,45405
13009,"Baldwin County, Georgia",36429,48651
13011,"Banks County, Georgia",41397,53673
13013,"Barrow County, Georgia",50604,58582
13015,"Bartow County, Georgia",49060,61823
13017,"Ben Hill County, Georgia",31943,42575
13019,"Berrien County, Georgia",32512,43169
13021,"Bibb County, Georgia",37975,56548
13023,"Bleckley County, Georgia",35997,51315
13025,"Brantley County, Georgia",38374,47430
13027,"Brooks County, Georgia",40186,55738
13029,"Bryan County, Georgia",64651,78991
13031,"Bulloch County, Georgia",33902,48373
13033,"Burke County, Georgia",32188,42248
13035,"Butts County, Georgia",49339,58918
13037,"Calhoun County, Georgia",32986,41783
13039,"Camden County, Georgia",51061,59066
13043,"Candler County, Georgia",37315,47062
13045,"Carroll County, Georgia",45752,57058
13047,"Catoosa County, Georgia",46549,57651
13049,"Charlton County, Georgia",42307,51278
13051,"Chatham County, Georgia",45985,63073
13053,"Chattahoochee County, Georgia",49969,57795
13055,"Chattooga County, Georgia",32224,40539
13057,"Cherokee County, Georgia",66717,82591
13059,"Clarke County, Georgia",34151,51588
13061,"Clay County, Georgia",24750,32870
13063,"Clayton County, Georgia",42936,52521
13065,"Clinch County, Georgia",33143,40445
13067,"Cobb County, Georgia",65423,87529
13069,"Coffee County, Georgia",34327,47571
13071,"Colquitt County, Georgia",33345,47837
13073,"Columbia County, Georgia",66556,82880
13075,"Cook County, Georgia",35306,48755
13077,"Coweta County, Georgia",61015,71379
13079,"Crawford County, Georgia",37746,51032
13081,"Crisp County, Georgia",32616,43660
13083,"Dade County, Georgia",41629,55737
13085,"Dawson County, Georgia",51989,67466
13087,"Decatur County, Georgia",31391,47053
13089,"DeKalb County, Georgia",51712,72329
13091,"Dodge County, Georgia",33829,44185
13093,"Dooly County, Georgia",30830,44910
13095,"Dougherty County, Georgia",32364,48502
13097,"Douglas County, Georgia",54763,68050
13099,"Early County, Georgia",27645,44566
13101,"Echols County, Georgia",29476,42353
13103,"Effingham County, Georgia",58935,68401
13105,"Elbert County, Georgia",32634,45115
13107,"Emanuel County, Georgia",30427,42982
13109,"Evans County, Georgia",38000,47800
13111,"Fannin County, Georgia",34554,46459
13113,"Fayette County, Georgia",81498,98083
13115,"Floyd County, Georgia",43129,56491
13117,"Forsyth County, Georgia",88262,105636
13119,"Franklin County, Georgia",33086,48165
13121,"Fulton County, Georgia",57582,91626
13123,"Gilmer County, Georgia",37091,50744
13125,"Glascock County, Georgia",36275,45652
13127,"Glynn County, Georgia",49828,68753
13129,"Gordon County, Georgia",41336,50526
13131,"Grady County, Georgia",32091,46099
13133,"Greene County, Georgia",38209,61085
13135,"Gwinnett County, Georgia",63076,78568
13137,"Habersham County, Georgia",41222,54290
13139,"Hall County, Georgia",52050,70629
13141,"Hancock County, Georgia",24483,33617
13143,"Haralson County, Georgia",38664,51235
13145,"Harris County, Georgia",67299,84027
13147,"Hart County, Georgia",35685,48212
13149,"Heard County, Georgia",39167,45831
13151,"Henry County, Georgia",64251,74179
13153,"Houston County, Georgia",55738,67085
13155,"Irwin County, Georgia",40379,48446
13157,"Jackson County, Georgia",52883,62369
13159,"Jasper County, Georgia",44404,54790
13161,"Jeff Davis County, Georgia",35336,43643
13163,"Jefferson County, Georgia",29178,39187
13165,"Jenkins County, Georgia",25467,41993
13167,"Johnson County, Georgia",31301,46702
13169,"Jones County, Georgia",51265,61658
13171,"Lamar County, Georgia",39684,49097
13173,"Lanier County, Georgia",40878,48469
13175,"Laurens County, Georgia",37640,50724
13177,"Lee County, Georgia",58252,69671
13179,"Liberty County, Georgia",44146,54059
13181,"Lincoln County, Georgia",36741,48177
13183,"Long County, Georgia",38785,44274
13185,"Lowndes County, Georgia",38535,53279
13187,"Lumpkin County, Georgia",43704,54506
13189,"McDuffie County, Georgia",36841,45937
13191,"McIntosh County, Georgia",37194,49407
13193,"Macon County, Georgia",28726,38755
13195,"Madison County, Georgia",41407,52515
13197,"Marion County, Georgia",32610,43739
13199,"Meriwether County, Georgia",37028,46270
13201,"Miller County, Georgia",33248,45501
13205,"Mitchell County, Georgia",37597,46570
13207,"Monroe County, Georgia",48632,63957
13209,"Montgomery County, Georgia",34933,46155
13211,"Morgan County, Georgia",46918,73082
13213,"Murray County, Georgia",37004,45281
13215,"Muscogee County, Georgia",41088,57006
13217,"Newton County, Georgia",51691,60346
13219,"Oconee County, Georgia",75136,96193
13221,"Oglethorpe County, Georgia",43255,54350
13223,"Paulding County, Georgia",63023,69127
13225,"Peach County, Georgia",41333,53603
13227,"Pickens County, Georgia",50582,66520
13229,"Pierce County, Georgia",37489,47773
13231,"Pike County, Georgia",56433,62592
13233,"Polk County, Georgia",38514,48955
13235,"Pulaski County, Georgia",32424,44220
13237,"Putnam County, Georgia",41756,64825
13239,"Quitman County, Georgia",32656,37601
13241,"Rabun County, Georgia",33533,51298
13243,"Randolph County, Georgia",29071,47600
13245,"Richmond County, Georgia",39090,51207
13247,"Rockdale County, Georgia",55819,68844
13249,"Schley County, Georgia",34691,45179
13251,"Screven County, Georgia",31963,44406
13253,"Seminole County, Georgia",29639,51372
13255,"Spalding County, Georgia",41163,52165
13257,"Stephens County, Georgia",37502,49736
13259,"Stewart County, Georgia",30417,39882
13261,"Sumter County, Georgia",34416,48014
13263,"Talbot County, Georgia",33404,43614
13265,"Taliaferro County, Georgia",24125,33960
13267,"Tattnall County, Georgia",33863,45565
13269,"Taylor County, Georgia",27479,40152
13271,"Telfair County, Georgia",23777,34462
13273,"Terrell County, Georgia",30953,41460
13275,"Thomas County, Georgia",34419,51911
13277,"Tift County, Georgia",37414,49717
13279,"Toombs County, Georgia",32462,48110
13281,"Towns County, Georgia",39309,48306
13283,"Treutlen County, Georgia",31848,47899
13285,"Troup County, Georgia",41961,54266
13287,"Turner County, Georgia",29851,45531
13289,"Twiggs County, Georgia",27715,43164
13291,"Union County, Georgia",43146,55793
13293,"Upson County, Georgia",34068,43818
13295,"Walker County, Georgia",39578,52096
13297,"Walton County, Georgia",51347,63510
13299,"Ware County, Georgia",35431,48240
13301,"Warren County, Georgia",33330,41875
13303,"Washington County, Georgia",31784,44357
13305,"Wayne County, Georgia",39470,51041
13307,"Webster County, Georgia",29583,42846
13309,"Wheeler County, Georgia",31456,37795
13311,"White County, Georgia",39666,54046
13313,"Whitfield County, Georgia",42379,57711
13315,"Wilcox County, Georgia",31712,39493
13317,"Wilkes County, Georgia",28989,40660
13319,"Wilkinson County, Georgia",37500,48506
13321,"Worth County, Georgia",38336,48855
15001,"Hawaii County, Hawaii",53591,68531
15003,"Honolulu County, Hawaii",71263,87851
15005,"Kalawao County, Hawaii",56875,60333
15007,"Kauai County, Hawaii",64422,76576
15009,"Maui County, Hawaii",64583,83344
16001,"Ada County, Idaho",55304,72128
16003,"Adams County, Idaho",36845,54442
16005,"Bannock County, Idaho",45347,57030
16007,"Bear Lake County, Idaho",43897,50389
16009,"Benewah County, Idaho",37508,44634
16011,"Bingham County, Idaho",46169,56817
16013,"Blaine County, Idaho",62906,81232
16015,"Boise County, Idaho",47128,55415
16017,"Bonner County, Idaho",42989,55326
16019,"Bonneville County, Idaho",51311,66092
16021,"Boundary County, Idaho",35324,45267
16023,"Butte County, Idaho",37821,50657
16025,"Camas County, Idaho",41184,52616
16027,"Canyon County, Idaho",42943,52798
16029,"Caribou County, Idaho",49740,57410
16031,"Cassia County, Idaho",39551,50477
16033,"Clark County, Idaho",39792,48903
16035,"Clearwater County, Idaho",42043,50770
16037,"Custer County, Idaho",43445,52867
16039,"Elmore County, Idaho",43691,54433
16041,"Franklin County, Idaho",46344,57337
16043,"Fremont County, Idaho",42178,54540
16045,"Gem County, Idaho",44442,52346
16047,"Gooding County, Idaho",40854,50442
16049,"Idaho County, Idaho",36706,45227
16051,"Jefferson County, Idaho",52799,61706
16053,"Jerome County, Idaho",39232,48872
16055,"Kootenai County, Idaho",48075,61242
16057,"Latah County, Idaho",39578,52753
16059,"Lemhi County, Idaho",40270,51408
16061,"Lewis County, Idaho",35344,42148
16063,"Lincoln County, Idaho",45077,52613
16065,"Madison County, Idaho",33791,50256
16067,"Minidoka County, Idaho",43194,54524
16069,"Nez Perce County, Idaho",44540,57377
16071,"Oneida County, Idaho",44435,49732
16073,"Owyhee County, Idaho",32169,45834
16075,"Payette County, Idaho",44943,51298
16077,"Power County, Idaho",41797,51985
16079,"Shoshone County, Idaho",37934,44504
16081,"Teton County, Idaho",52444,60939
16083,"Twin Falls County, Idaho",43146,54589
16085,"Valley County, Idaho",52675,65733
16087,"Washington County, Idaho",37878,51402
17001,"Adams County, Illinois",45792,60633
17003,"Alexander County, Illinois",27727,36112
17005,"Bond County, Illinois",50672,62241
17007,"Boone County, Illinois",61613,77069
17009,"Brown County, Illinois",42014,60661
17011,"Bureau County, Illinois",48046,61231
17013,"Calhoun County, Illinois",48958,58733
17015,"Carroll County, Illinois",45433,59166
17017,"Cass County, Illinois",41139,51584
17019,"Champaign County, Illinois",44462,62586
17021,"Christian County, Illinois",43964,56405
17023,"Clark County, Illinois",47933,59525
17025,"Clay County, Illinois",38905,49392
17027,"Clinton County, Illinois",57246,68736
17029,"Coles County, Illinois",38294,53783
17031,"Cook County, Illinois",54598,77603
17033,"Crawford County, Illinois",43923,57134
17035,"Cumberland County, Illinois",43255,55183
17037,"DeKalb County, Illinois",54436,66450
17039,"De Witt County, Illinois",48750,63673
17041,"Douglas County, Illinois",47921,57636
17043,"DuPage County, Illinois",77598,103296
17045,"Edgar County, Illinois",42947,55581
17047,"Edwards County, Illinois",39071,48335
17049,"Effingham County, Illinois",50938,64130
17051,"Fayette County, Illinois",43081,54609
17053,"Ford County, Illinois",50332,60570
17055,"Franklin County, Illinois",36383,46928
17057,"Fulton County, Illinois",42963,52047
17059,"Gallatin County, Illinois",38577,55397
17061,"Greene County, Illinois",42193,53769
17063,"Grundy County, Illinois",64592,74685
17065,"Hamilton County, Illinois",39000,53424
17067,"Hancock County, Illinois",43567,53953
17069,"Hardin County, Illinois",30875,42632
17071,"Henderson County, Illinois",47944,53928
17073,"Henry County, Illinois",50698,63360
17075,"Iroquois County, Illinois",48248,61287
17077,"Jackson County, Illinois",32896,47151
17079,"Jasper County, Illinois",47731,55683
17081,"Jefferson County, Illinois",42679,56140
17083,"Jersey County, Illinois",54469,64588
17085,"Jo Daviess County, Illinois",52487,66817
17087,"Johnson County, Illinois",42172,50831
17089,"Kane County, Illinois",69496,88064
17091,"Kankakee County, Illinois",49266,61500
17093,"Kendall County, Illinois",82649,92802
17095,"Knox County, Illinois",40112,50868
17097,"Lake County, Illinois",79666,110042
17099,"LaSalle County, Illinois",52469,62974
17101,"Lawrence County, Illinois",38326,48918
17103,"Lee County, Illinois",49451,63430
17105,"Livingston County, Illinois",52835,62311
17107,"Logan County, Illinois",48714,60863
17109,"McDonough County, Illinois",34186,46698
17111,"McHenry County, Illinois",76909,90469
17113,"McLean County, Illinois",59410,75551
17115,"Macon County, Illinois",45987,62258
17117,"Macoupin County, Illinois",48739,58687
17119,"Madison County, Illinois",53143,66567
17121,"Marion County, Illinois",40097,51644
17123,"Marshall County, Illinois",51642,61298
17125,"Mason County, Illinois",42929,55663
17127,"Massac County, Illinois",40885,48678
17129,"Menard County, Illinois",56943,65924
17131,"Mercer County, Illinois",51216,61899
17133,"Monroe County, Illinois",69291,83887
